time,weather_code (wmo code),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),rain_sum (mm),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C)
01-01-2020,3,19.7,1,0,0,16.95,24.3,25.7,22.9
02-01-2020,2,22.2,348,0,0,16.63,24.7,25.6,23.2
03-01-2020,3,31.3,355,0,0,17.03,22.6,24.9,20.5
04-01-2020,2,32,356,0,0,17.28,22,23.9,20.1
05-01-2020,0,27.1,18,0,0,17,24.8,29.4,21.6
06-01-2020,0,24.4,345,0,0,16.89,26.5,28.9,23.3
07-01-2020,1,25.7,331,0,0,16.79,27.3,28.4,26.4
08-01-2020,51,26.7,344,0.1,0.1,16.16,25.4,28.5,20.5
09-01-2020,2,34.7,358,0,0,17.48,22.2,24.6,20.1
10-01-2020,2,26.3,13,0,0,17.17,25.7,30.6,21.9
11-01-2020,1,19.2,11,0,0,16.88,27.8,30.6,24.9
12-01-2020,51,21.5,339,0.4,0.4,17.28,27.8,29.6,25.6
13-01-2020,53,23.4,341,0.8,0.8,16.49,26.7,28,25.1
14-01-2020,51,33,353,0.4,0.4,16.92,23.8,26.4,21.6
15-01-2020,1,31.6,344,0,0,17.38,21.4,22.8,20.5
16-01-2020,1,30.1,357,0,0,17.93,19.4,22.5,16.4
17-01-2020,0,33.1,357,0,0,18.57,18.5,19.9,16.4
18-01-2020,2,27.3,356,0,0,18.1,21.7,24.1,17.9
19-01-2020,0,25.6,347,0,0,17.96,24.2,26.2,21.2
20-01-2020,0,22.5,345,0,0,18,26.1,28.6,23.7
21-01-2020,1,24,340,0,0,17.96,26,27.2,24.1
22-01-2020,1,27.1,352,0,0,18.03,25.5,27,24.5
23-01-2020,0,30.9,353,0,0,18.31,26.1,28.5,24.7
24-01-2020,0,27.4,351,0,0,18.49,26.5,28.1,25.3
25-01-2020,3,30.6,346,0,0,18.28,25.8,27.6,24.7
26-01-2020,0,23.3,328,0,0,18.37,26.8,27.9,26
27-01-2020,1,18.1,310,0,0,18.66,26.4,28,25.3
28-01-2020,51,22.7,321,1,1,16.7,24.5,26.8,23.2
29-01-2020,51,33,348,0.1,0.1,17.31,20.5,23.6,19
30-01-2020,3,31.6,352,0,0,19.7,21.1,23.7,19.1
31-01-2020,0,29.3,345,0,0,19.52,21.6,23.1,20.4
01-02-2020,0,30.7,347,0,0,19.53,23.1,26.1,19.9
02-02-2020,3,18.4,297,0,0,19.63,26.1,27.2,24.6
03-02-2020,3,17.7,301,0,0,19.38,26.2,26.7,25.3
04-02-2020,3,28.8,348,0,0,19.48,23.5,25.9,21.2
05-02-2020,2,31.4,346,0,0,19.75,22.8,24.3,20.9
06-02-2020,3,27.7,342,0,0,20.45,23.2,24.2,21.7
07-02-2020,2,31.6,343,0,0,20.64,21.9,23.7,20.1
08-02-2020,0,40.2,356,0,0,20.14,23,25.8,21.4
09-02-2020,3,38.9,13,0,0,20.07,24,29.1,22.3
10-02-2020,3,29.1,6,0,0,19.57,26.3,30,24.3
11-02-2020,3,24.3,358,0,0,15.78,27.7,31.8,26.2
12-02-2020,3,24.9,2,0,0,15.94,28.3,33.8,25.5
13-02-2020,2,31.9,0,0,0,16.93,27.5,31.9,25.2
14-02-2020,0,32.6,351,0,0,20.74,26.1,28.9,24.5
15-02-2020,0,30.8,343,0,0,21.01,24.6,26.4,23.7
16-02-2020,0,25.5,337,0,0,20.98,26.1,28,23.9
17-02-2020,0,20.8,332,0,0,21.01,28.1,29.5,26.5
18-02-2020,0,23.4,318,0,0,21.23,29,30.7,27
19-02-2020,2,22.7,330,0,0,21.39,28.3,29.9,27.5
20-02-2020,2,23.7,337,0,0,21.34,27.9,29.6,26.7
21-02-2020,3,28.9,341,0,0,21.53,26.8,28.2,25.3
22-02-2020,3,27.7,344,0,0,21.59,27,28.3,25
23-02-2020,0,29.5,340,0,0,21.68,26.6,28.4,25.6
24-02-2020,3,29.5,345,0,0,22.19,26.4,27.6,24.9
25-02-2020,2,32.4,359,0,0,22.56,25.9,30.5,23.9
26-02-2020,0,27.5,358,0,0,22.53,26.7,30.7,23.7
27-02-2020,0,25.4,2,0,0,22.65,27.6,33.1,24
28-02-2020,0,27.2,339,0,0,22.42,27.7,28.7,26.4
29-02-2020,0,28.6,332,0,0,22,27.9,29.8,26.4
01-03-2020,0,28.3,334,0,0,22.13,27.1,28.3,26
02-03-2020,1,20.1,316,0,0,22.72,28,28.8,26.9
03-03-2020,51,18.7,300,0.2,0.2,21.88,27.9,30.1,26.4
04-03-2020,2,22.4,312,0,0,21.36,27.1,28.1,25.8
05-03-2020,1,21.7,278,0,0,21.83,27,29,25.7
06-03-2020,1,24.1,270,0,0,20.32,26.4,27.4,25.3
07-03-2020,51,26.6,336,0.3,0.3,22.23,24.8,25.5,23.4
08-03-2020,0,24.3,328,0,0,23.22,25.4,26.5,23.7
09-03-2020,0,24.6,318,0,0,22.91,26.7,28,25
10-03-2020,2,18.3,316,0,0,19.87,27.1,27.9,25.2
11-03-2020,1,24.4,320,0,0,23.25,25.5,26.7,24.6
12-03-2020,3,27.9,337,0,0,21.84,24.3,25.8,23.1
13-03-2020,3,39,349,0,0,23.63,22.4,24.8,21
14-03-2020,3,36.4,353,0,0,24.74,23.8,26.4,20.1
15-03-2020,3,23.8,351,0,0,23.74,27.2,29.9,22.6
16-03-2020,0,25.1,333,0,0,23.53,28.6,31.4,25.7
17-03-2020,1,27.4,332,0,0,23.53,29.2,30.1,28
18-03-2020,1,21.8,320,0,0,23.57,29.5,30.8,28.3
19-03-2020,2,21.7,327,0,0,24.5,28.7,29.8,27.7
20-03-2020,2,19.2,304,0,0,23.54,28.8,30.1,27.7
21-03-2020,2,26.5,333,0,0,23.93,28,29.9,27
22-03-2020,1,31.3,333,0,0,23.94,28.2,30.2,26.6
23-03-2020,1,28.3,333,0,0,24.03,29.7,31.3,28.8
24-03-2020,3,26.4,306,0,0,23.93,31.2,33.6,29.9
25-03-2020,2,22.2,221,0,0,23.63,32.5,33.3,31.8
26-03-2020,1,23.8,281,0,0,22.19,32.2,33.5,29.4
27-03-2020,1,35.3,338,0,0,21.92,29.5,32.2,27.9
28-03-2020,1,36.1,340,0,0,22.67,28.6,30.8,27.4
29-03-2020,0,32,339,0,0,24.25,29.1,31,27.7
30-03-2020,0,24.2,323,0,0,24.39,30.6,31.6,29.9
31-03-2020,3,29.8,330,0,0,24.18,29.7,30.9,28.2
01-04-2020,2,33.2,335,0,0,24.85,29.4,31.1,27.2
02-04-2020,0,30.8,332,0,0,24.88,30,31.2,28.9
03-04-2020,2,31.1,323,0,0,24.74,31,32.4,29.2
04-04-2020,0,28.3,315,0,0,25.01,31.3,32.7,29.7
05-04-2020,1,23.5,263,0,0,25.15,31.8,33.1,30.6
06-04-2020,3,22.9,246,0,0,24.47,31.5,32.5,30.7
07-04-2020,3,20.1,278,0,0,24.24,31.4,32.7,30
08-04-2020,0,28.1,286,0,0,24.93,30.7,32.5,28.8
09-04-2020,0,30.5,321,0,0,25.55,30.6,32,29
10-04-2020,0,31,321,0,0,24.93,31.5,32.8,29.9
11-04-2020,1,26.1,313,0,0,24.01,32.5,34.7,31
12-04-2020,1,21.6,231,0,0,24.8,33.3,34.3,32.7
13-04-2020,1,24.9,219,0,0,24.01,33.1,34.1,32.4
14-04-2020,2,27.9,263,0,0,24.81,33.6,34.9,32
15-04-2020,2,24.7,212,0,0,23.63,33.5,34.6,32.3
16-04-2020,3,25.2,209,0,0,24.94,33.3,34.4,32.2
17-04-2020,3,23.6,258,0,0,24.34,33.4,34.3,32.2
18-04-2020,2,24.7,258,0,0,25.06,33.9,34.8,32.5
19-04-2020,2,30.8,322,0,0,24.65,33.8,35.3,32.1
20-04-2020,0,31,333,0,0,25.86,33.1,34.8,31.7
21-04-2020,2,24.5,298,0,0,25.96,33.4,35,32
22-04-2020,2,27.2,264,0,0,25.32,34.1,35.2,32.1
23-04-2020,3,25.5,285,0,0,25.25,33.7,35,32.3
24-04-2020,0,25.2,272,0,0,25.48,34,35.5,32.7
25-04-2020,1,23,271,0,0,25.46,33.4,34.6,32
26-04-2020,2,31.7,311,0,0,25.88,33.2,35.1,30.9
27-04-2020,1,28.3,302,0,0,25.08,32.8,34.4,30.8
28-04-2020,1,35.2,328,0,0,25.44,33.3,34.4,31.8
29-04-2020,2,23.9,259,0,0,24.65,34.9,36.1,34
30-04-2020,2,20.2,270,0,0,23.49,34.4,35.4,33.8
01-05-2020,2,25.5,290,0,0,22.1,33.9,35,32.7
02-05-2020,3,28.6,307,0,0,24.51,34,35.5,32.6
03-05-2020,2,25,312,0,0,25.52,33.8,35,32.6
04-05-2020,2,23.1,300,0,0,25.65,33.9,34.7,33
05-05-2020,2,27.7,318,0,0,25.23,34.4,35.3,32.8
06-05-2020,1,28,301,0,0,26.05,34.8,36.4,33.7
07-05-2020,1,26.8,286,0,0,26.06,34.1,35.3,32.4
08-05-2020,2,23.6,287,0,0,25.84,33.8,34.9,32.3
09-05-2020,1,25.8,310,0,0,25.44,33.9,34.8,32.4
10-05-2020,2,29.9,309,0,0,25.69,34.4,35.6,32.2
11-05-2020,1,28.7,318,0,0,25.82,33.9,35.2,31.9
12-05-2020,2,26.8,316,0,0,25.74,33.6,35.6,31.7
13-05-2020,2,26.1,310,0,0,24.58,34.5,35.7,33.1
14-05-2020,2,30,310,0,0,25.31,34.4,35.3,33.1
15-05-2020,3,31.9,320,0,0,25.28,34,35.2,32
16-05-2020,3,25.8,307,0,0,21.74,34.6,35.5,32.7
17-05-2020,51,32,313,0.1,0.1,22.26,33.9,35.1,32.2
18-05-2020,3,27.2,307,0,0,22.87,33.2,34,32.7
19-05-2020,51,24,292,0.1,0.1,22.53,33.4,34.2,32.5
20-05-2020,3,19.1,273,0,0,25.38,33.7,34.9,32.9
21-05-2020,2,23.5,266,0,0,25.23,33.9,35.3,32.5
22-05-2020,1,21.4,286,0,0,23.6,34.2,35.2,33.4
23-05-2020,2,30.2,303,0,0,25.82,33.8,35.1,32.3
24-05-2020,3,25.4,302,0,0,25.06,34,34.7,33
25-05-2020,51,24.3,303,0.1,0.1,23.19,34.3,35.4,33.2
26-05-2020,51,21.2,278,0.2,0.2,23.49,34.3,34.9,33.5
27-05-2020,51,19.4,265,0.1,0.1,25.3,34,35.6,33.3
28-05-2020,51,20.8,264,0.1,0.1,24.38,34.1,35.5,33.4
29-05-2020,51,19.8,264,0.2,0.2,25.27,35.1,36.9,33.9
30-05-2020,51,20.6,299,0.4,0.4,25.19,35.2,36.7,33.8
31-05-2020,53,29.6,306,1.3,1.3,24.17,34.5,36.1,32.6
01-06-2020,63,19.1,267,16.8,16.8,7.28,33.6,35.2,32.3
02-06-2020,61,34.5,40,16.3,16.3,8.58,31.2,33.8,29.2
03-06-2020,65,84.5,339,119.2,119.2,2.69,28.5,33,22.1
04-06-2020,53,30,206,8.7,8.7,14.44,31.3,33.3,30
05-06-2020,53,34.9,192,5.6,5.6,20.34,31.1,32.3,30
06-06-2020,55,34.2,194,7.9,7.9,15.97,30.3,31.1,29.1
07-06-2020,53,31.4,198,6.8,6.8,16.94,30.7,31.5,29.9
08-06-2020,53,27.7,205,6.5,6.5,17.57,31.3,32.6,29.7
09-06-2020,55,19.3,213,6.2,6.2,19.56,32.4,33.1,31
10-06-2020,61,19.6,230,17.1,17.1,19.58,32.8,33.6,32.3
11-06-2020,61,19.9,207,7.4,7.4,15.5,32.1,32.9,31.4
12-06-2020,55,20.1,204,5.3,5.3,13.65,32.7,34,31.2
13-06-2020,63,19,198,10.4,10.4,12.36,32,32.9,30.8
14-06-2020,61,22.6,191,6.2,6.2,18.68,32.6,34.6,31.8
15-06-2020,63,19.6,217,21.1,21.1,16.1,32.5,34.3,31.9
16-06-2020,63,24.2,197,22.5,22.5,9.77,31.6,33.1,30.4
17-06-2020,63,36.2,191,35.4,35.4,9.93,30.1,31.4,28.6
18-06-2020,63,37.6,204,19.6,19.6,8.95,30.2,31.7,29.1
